title,authors,year,venue,url_or_doi,topic_category,one_line_relevance,verification_note
"SEGAN: Speech Enhancement Generative Adversarial Network","Santiago Pascual; Antonio Bonafonte; Joan Serrà",2017,"Interspeech 2017 (arXiv preprint)","https://arxiv.org/abs/1703.09452","speech_enhancement_denoising","Early influential end-to-end waveform-domain GAN for speech denoising; a natural learned-restoration baseline for the benchmark.","Fetched arXiv abstract page directly, 2026-09-07; confirmed title/authors/year."
"Real Time Speech Enhancement in the Waveform Domain","Alexandre Défossez; Gabriel Synnaeve; Yossi Adi",2020,"Interspeech 2020 (arXiv:2006.12847)","https://arxiv.org/abs/2006.12847","speech_enhancement_denoising","The Facebook/Meta 'Denoiser' model (built on Demucs-style architecture); strong, widely-used real-time denoising baseline.","Confirmed via WebSearch of arXiv listing, ISCA Archive page, and Meta AI research page (arxiv.org/abs/2006.12847); title/authors cross-checked across 3 independent sources."
"The INTERSPEECH 2020 Deep Noise Suppression Challenge: Datasets, Subjective Testing Framework, and Challenge Results","Chandan K. A. Reddy; Vishak Gopal; Ross Cutler; Ebrahim Beyrami; Roger Cheng; Harishchandra Dubey; Sergiy Matusevych; Robert Aichner; Ashkan Aazami; Sebastian Braun; Puneet Rana; Sriram Srinivasan; Johannes Gehrke",2020,"Interspeech 2020 (arXiv:2005.13981)","https://arxiv.org/abs/2005.13981","speech_enhancement_denoising","Defines the DNS Challenge datasets/baselines/subjective testing protocol widely used as a speech-enhancement benchmark reference.","Fetched arXiv abstract page directly, 2026-09-07; full 13-author list confirmed from the fetched page."
"Audio Super Resolution using Neural Networks","Volodymyr Kuleshov; S. Zayd Enam; Stefano Ermon",2017,"ICLR 2017 Workshop Track (arXiv:1708.00853)","https://arxiv.org/abs/1708.00853","bandwidth_extension_super_resolution","Early feedforward neural-net approach to audio bandwidth extension (upsampling 15-50% subsampled audio); foundational baseline for the super-resolution literature.","Fetched arXiv abstract page directly, 2026-09-07."
"NU-Wave: A Diffusion Probabilistic Model for Neural Audio Upsampling","Junhyeok Lee; Seungu Han",2021,"Interspeech 2021 (arXiv:2104.02321)","https://arxiv.org/abs/2104.02321","bandwidth_extension_super_resolution","First diffusion-based model for audio super-resolution (16/24kHz -> 48kHz); relevant generative baseline for bandwidth-extension restoration.","Fetched arXiv abstract page directly, 2026-09-07."
"AERO: Audio Super Resolution in the Spectral Domain","Moshe Mandel; Or Tal; Yossi Adi",2022,"arXiv:2211.12232","https://arxiv.org/abs/2211.12232","bandwidth_extension_super_resolution","Complex-spectrogram encoder-decoder for audio super-resolution across speech and music, useful as a discriminative-model comparison point.","Fetched arXiv abstract page directly, 2026-09-07."
"BEHM-GAN: Bandwidth Extension of Historical Music using Generative Adversarial Networks","Eloi Moliner; Vesa Välimäki",2022,"IEEE/ACM Transactions on Audio, Speech, and Language Processing (arXiv:2204.06478)","https://arxiv.org/abs/2204.06478","historical_audio_archival_restoration","First reported success extending bandwidth on genuine historical gramophone music recordings via GAN; directly on-topic for Regime B (no ground truth, real historical media).","Fetched arXiv abstract page directly, 2026-09-07."
"Blind Audio Bandwidth Extension: A Diffusion-Based Zero-Shot Approach","Eloi Moliner; Filip Elvander; Vesa Välimäki",2023,"IEEE/ACM Transactions on Audio, Speech and Language Processing (arXiv:2306.01433)","https://arxiv.org/abs/2306.01433","historical_audio_archival_restoration","'BABE' - reconstructs missing high frequencies without knowing the degradation model, tested on synthetic AND genuine historical recordings; close match to this benchmark's dual-regime design.","Fetched arXiv abstract page directly, 2026-09-07."
"Diffusion-Based Audio Inpainting","Eloi Moliner; Vesa Välimäki",2024,"Journal of the Audio Engineering Society, Vol. 72 No. 3 (arXiv:2305.15266)","https://arxiv.org/abs/2305.15266","audio_inpainting_dropout_restoration","Zero-shot-conditioned diffusion model reconstructing gaps up to 300ms using constant-Q architecture; state-of-the-art audio inpainting reference.","Fetched arXiv abstract page directly, 2026-09-07."
"Deep Long Audio Inpainting","Ya-Liang Chang; Kuan-Ying Lee; Po-Yu Wu; Hung-yi Lee; Winston Hsu",2019,"arXiv:1911.06476","https://arxiv.org/abs/1911.06476","audio_inpainting_dropout_restoration","Analyzes deep-learning recovery of long (>200ms) missing audio segments, systematically studying mask size/receptive field effects; useful methodological reference for dropout/gap restoration.","Fetched arXiv abstract page directly, 2026-09-07."
"GACELA -- A generative adversarial context encoder for long audio inpainting","Andrés Marafioti; Piotr Majdak; Nicki Holighaus; Nathanael Perraudin",2020,"IEEE Journal of Selected Topics in Signal Processing (arXiv:2005.05032)","https://arxiv.org/abs/2005.05032","audio_inpainting_dropout_restoration","Multi-scale GAN inpainting music gaps of 375ms-1.5s using multiple discriminators at different temporal resolutions; relevant for larger-gap restoration scenarios.","Confirmed via WebSearch across arXiv, IEEE Xplore, and GitHub listings, 2026-09-07; author list cross-checked on 2 independent sources."
"DiffWave: A Versatile Diffusion Model for Audio Synthesis","Zhifeng Kong; Wei Ping; Jiaji Huang; Kexin Zhao; Bryan Catanzaro",2021,"ICLR 2021 (arXiv:2009.09761)","https://arxiv.org/abs/2009.09761","generative_audio_restoration_diffusion","Foundational non-autoregressive diffusion vocoder; underlies several later diffusion-based restoration/enhancement models (CDiffuSE, DiffuSE) cited in this matrix.","Confirmed via WebSearch of arXiv PDF and Semantic Scholar listing, 2026-09-07; author list and venue cross-checked."
"Conditional Diffusion Probabilistic Model for Speech Enhancement","Yen-Ju Lu; Zhong-Qiu Wang; Shinji Watanabe; et al.",2022,"ICASSP 2022 (arXiv:2202.05256)","https://arxiv.org/abs/2202.05256","generative_audio_restoration_diffusion","CDiffuSE - generalizes diffusion-based speech enhancement to non-Gaussian real-world noise, a key generative-restoration baseline.","Confirmed via WebSearch (arXiv listing + Waseda University research portal); full author list beyond first three not independently confirmed in this session, marked 'et al.'"
"Restoring degraded speech via a modified diffusion model","Jianwei Zhang; Suren Jayasuriya; Visar Berisha",2021,"arXiv:2104.11347","https://arxiv.org/abs/2104.11347","generative_audio_restoration_diffusion","Modifies DiffWave's mel-spectrogram upsampler with a trained CNN to restore degraded speech toward the clean-speech mel distribution; directly relevant generative-restoration approach.","Confirmed via WebSearch of arXiv abstract and Semantic Scholar listing, 2026-09-07."
"VoiceFixer: A Unified Framework for High-Fidelity Speech Restoration","Haohe Liu; Xubo Liu; Qiuqiang Kong; Qiao Tian; Yan Zhao; DeLiang Wang; Chuanzeng Huang; Yuxuan Wang",2022,"Interspeech 2022 (arXiv:2204.05841)","https://arxiv.org/abs/2204.05841","generative_audio_restoration_diffusion","Unified analysis-synthesis system restoring multiple simultaneous degradations plus bandwidth upsampling to 44.1kHz; a strong multi-degradation restoration baseline.","Fetched arXiv abstract page directly, 2026-09-07."
"Diffusion Models for Audio Restoration","Jean-Marie Lemercier; Julius Richter; Simon Welker; Eloi Moliner; Vesa Välimäki; Timo Gerkmann",2025,"IEEE Signal Processing Magazine (arXiv:2402.09821)","https://arxiv.org/abs/2402.09821","generative_audio_restoration_diffusion","Invited survey paper specifically on diffusion models for audio restoration, combining model-based interpretability with data-driven performance; directly frames this benchmark's core method class.","Fetched arXiv abstract page directly, 2026-09-07."
"Learning to Denoise Historical Music","Yunpeng Li; Beat Gfeller; Marco Tagliasacchi; Dominik Roblek",2020,"ISMIR 2020 (arXiv:2008.02027)","https://arxiv.org/abs/2008.02027","historical_audio_archival_restoration","Neural spectrogram-domain denoiser trained on synthetic noisy data to remove crackle/hiss from archival wax-cylinder/phonograph music while preserving musical content; core historical-restoration reference.","Fetched arXiv abstract page directly, 2026-09-07."
"A Two-Stage U-Net for High-Fidelity Denoising of Historical Recordings","Eloi Moliner; Vesa Välimäki",2022,"ICASSP 2022 (arXiv:2202.08702)","https://arxiv.org/abs/2202.08702","historical_audio_archival_restoration","Two-stage U-Net jointly removing hiss, clicks, thumps, and rumble from historical analog-disc recordings; state-of-the-art historical-recording denoiser and directly on-topic for Regime B.","Fetched arXiv abstract page directly, 2026-09-07."
"Perceptual Evaluation of Speech Quality (PESQ) - A New Method for Speech Quality Assessment of Telephone Networks and Codecs","A. W. Rix; J. G. Beerends; M. P. Hollier; A. P. Hekstra",2001,"ICASSP 2001, Salt Lake City, pp. 749-752","doi:10.1109/ICASSP.2001.941023","perceptual_audio_quality_metrics","Defines PESQ, later standardized as ITU-T Recommendation P.862; the classic full-reference speech-quality metric candidate for the benchmark's Regime-A evaluation.","Confirmed DOI (10.1109/ICASSP.2001.941023) and full citation via WebSearch cross-referencing ResearchGate and IEEE-affiliated listings, 2026-09-07; no arXiv preprint exists for this paper (pre-dates arXiv adoption in this subfield) so DOI is the primary identifier."
